SR.No,question,answer,topic
11,What undergrad degrees can I get here?,"Undergraduate degrees available:
- B.Tech in Computer Science & Engineering
- B.Tech in Electronics & Communication Engineering
- B.Tech in Electrical Engineering
- B.Tech in Mechanical Engineering
- B.Tech in Civil Engineering
- B.Tech in Information Technology
- B.Tech + Integrated MBA (dual degree)

All AICTE-approved, RTU-affiliated, 4-year programs. Availability varies yearly. ",UNDERGRADUATE_PROGRAMS
12,List your bachelor's degree programs,"Undergraduate bachelor’s degree programs at Arya College of Engineering:
- B.Tech in Computer Science & Engineering
- B.Tech in Electronics & Communication Engineering
- B.Tech in Electrical Engineering
- B.Tech in Mechanical Engineering
- B.Tech in Civil Engineering
- B.Tech in Information Technology
- B.Tech + Integrated MBA (dual degree)

Notes: AICTE-approved, RTU-affiliated, 4-year programs. Availability varies yearly. ",UNDERGRADUATE_PROGRAMS
13,What undergraduate fields of study do you offer?,"Undergraduate fields of study at Arya College of Engineering:
- B.Tech in Computer Science & Engineering
- B.Tech in Electronics & Communication Engineering
- B.Tech in Electrical Engineering
- B.Tech in Mechanical Engineering
- B.Tech in Civil Engineering
- B.Tech in Information Technology
- B.Tech + Integrated MBA (dual degree)
",UNDERGRADUATE_PROGRAMS
14, I'm looking for undergraduate program information,"Undergraduate programs at Arya College (4-year B.Tech): Computer Science & Engineering; Electronics & Communication Engineering; Electrical Engineering; Mechanical Engineering; Civil Engineering; Information Technology; B.Tech + Integrated MBA (dual degree). AICTE-approved, RTU-affiliated. Availability varies yearly. ",UNDERGRADUATE_PROGRAMS
15,Show me all available undergrad majors,"Available undergraduate majors (B.Tech, 4-year) at Arya College of Engineering:
- B.Tech Computer Science & Engineering
- B.Tech Electronics & Communication Engineering
- B.Tech Electrical Engineering
- B.Tech Mechanical Engineering
- B.Tech Civil Engineering
- B.Tech Information Technology
- B.Tech + Integrated MBA (dual degree)

All AICTE-approved, RTU-affiliated. Availability varies yearly.",UNDERGRADUATE_PROGRAMS
16,What bachelor's degree options are there?,"Available bachelor’s degree options (4-year B.Tech):
- Computer Science & Engineering
- Electronics & Communication Engineering
- Electrical Engineering
- Mechanical Engineering
- Civil Engineering
- Information Technology
- B.Tech + Integrated MBA (dual degree)

All AICTE-approved and RTU-affiliated. Availability varies yearly. ",UNDERGRADUATE_PROGRAMS
17,Tell me about undergraduate academic programs,Undergraduate academic programs: 4-year B.Tech in Computer Science & Engineering; Electronics & Communication Engineering; Electrical Engineering; Mechanical Engineering; Civil Engineering; Information Technology; plus B.Tech + Integrated MBA (dual degree). All AICTE-approved and RTU-affiliated. Availability varies yearly. ,UNDERGRADUATE_PROGRAMS
18,Do you have a computer science degree program?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
19, Is computer science offered here?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
20,Can I study computer science at your college?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
21,Do you offer a CS degree?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
22,Is there a computer science major available?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
23,Tell me about your computer science program,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
24,Do you have a computer science department?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
25,Can I get a degree in computer science?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
26,Is computer science one of your programs?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
27, Do you teach computer science?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
28, What about computer science courses?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
29,Is CS available as a major?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
30,Can I major in computer science here?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
31,Do you have computer science studies?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
32,Is there a computer science curriculum?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. Availability varies yearly. If you want details on eligibility, intake, and seats, I can connect you with Admissions staff.",COMPUTER_SCIENCE_PROGRAM
33,Tell me about CS program details,"CS program details: B.Tech in Computer Science & Engineering (4 years), AICTE-approved and RTU-affiliated. Core subjects with labs: Data Structures, Algorithms, Computer Organization & Architecture, Operating Systems, DBMS, Networks, Web Technologies, Software Engineering, AI/ML. Labs include Data Structures Lab, OS Lab, DBMS Lab. Electives: ML, Big Data, Cloud. Need eligibility, intake, or admissions help?CS program details: B.Tech in Computer Science & Engineering (4 years), AICTE-approved and RTU-affiliated. Core subjects with labs: Data Structures, Algorithms, Computer Organization & Architecture, Operating Systems, DBMS, Networks, Web Technologies, Software Engineering, AI/ML. Labs include Data Structures Lab, OS Lab, DBMS Lab. Electives: ML, Big Data, Cloud.",COMPUTER_SCIENCE_PROGRAM
34,Do you offer computer science education?,"Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. The program covers core CS subjects and labs (e.g., Data Structures, Operating Systems, Computer Networks, DBMS, C++/Java). Availability varies yearly. Want details on eligibility and seats or should I connect you with Admissions for the application?Yes. Arya College offers a 4-year B.Tech in Computer Science & Engineering (CSE). It’s AICTE-approved and RTU-affiliated. The program covers core CS subjects and labs (e.g., Data Structures, Operating Systems, Computer Networks, DBMS, C++/Java). Availability varies yearly. ",COMPUTER_SCIENCE_PROGRAM
35,Can you tell me about the MBA program requirements?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
36, What do I need for MBA admission?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
37,Tell me about MBA program criteria,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
38,Tell me about MBA program criteria,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
39, What qualifications do I need for MBA?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
40,What are the MBA entrence requirements ?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
41, Can you explain MBA admission requirements?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
42,What documents needed for MBA application?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
43,Tell me MBA program admission criteria,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
44, What are the MBA eligibility requirements?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
45,I need info about MBA requirements,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
46,What's required to get into the MBA program?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
47,Can you list MBA admission prerequisites?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
48,Tell me about MBA program qualifications,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
49,What do I need to apply for MBA?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
50,Show me MBA entrance criteria,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
51,What are the MBA program standards?,"Full-time MBA at Arya College Jaipur: Eligibility—bachelor’s degree in any discipline with at least 50% marks. Selection typically requires CAT/MAT/XAT/CMAT/RMAT/ATMA score or institute-level test, followed by GD/WAT/PI. Duration—2 years (4 semesters). Specializations include Finance, Marketing, HR, Operations, International Business. Availability varies yearly.",MBA_REQUIREMENTS
52,What's the application deadline for fall semester?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
53, When is the fall admission deadline?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
54,By when do I need to apply for fall?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
55,What's the last date to apply for fall semester?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
56, When does the fall application close?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
57,Tell me the fall semester application deadline,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
58,What's the cutoff date for fall applications?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
59,When is the fall admission application due?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
60,What's the final date for fall semester applications?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
61,When do fall applications need to be submitted?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
62, What's the deadline to apply for fall term?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
63, When does fall semester application end?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
64,Tell me the fall application submission deadline,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
65,What's the last day to apply for fall?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
66,When is the fall semester application cutoff?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
67,What's the fall admission deadline date?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
68,By what date should I submit fall application?,Fall admission deadlines vary by program and year; there isn’t a single fixed date. I can connect you with Admissions to confirm the exact fall deadline for your program and intake. ,APPLICATION_DEADLINE
69,What's the tuition fee for this semester?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)

",TUITION_FEES
70,How much does tuition cost?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
71,What are the tuition charges?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
72,Tell me about tuition fees,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
73,How much do I need to pay for tuition?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
74,What's the cost of tuition per semester?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
75,Can you tell me the tuition amount,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
76,What are the tuition rates?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
77,How much is tuition fee?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
78,What's the semester tuition cost?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
79,Tell me tuition fee details,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
80,What do I pay for tuition?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
81,How expensive is tuition?,"Tuition varies by program. Current figures:

- B.Tech (CSE/IT/ECE/EE/ME/Civil/AI dual): ?85,578/yr; Development ?12,837; Accreditation ?17,116; Total ?1,15,531/yr. One-time: ?7,500 caution money; ?2,000/yr registration.
- MBA: ?67,196/yr; Development ?10,079; Accreditation ?13,439; Total ?90,714/yr. One-time ?7,500 caution money; ?2,000/yr registration.Fee submission start dates vary by program and intake; there is no universal start. For the current semester, the last date to pay fees is 31 August 2025 (?10/day late fee)",TUITION_FEES
